0	1	1	1	1
1	1	5	2	3
2	2	7	4	4
3	3	9	5	6
4	3	11	6	7
5	4	12	8	8
6	5	12	9	9
7	5	13	10	10
8	6	13	10	11
9	6	14	12	12
10	7	14	11	14
11	7	14	13	13
12	8	15	12	15
13	8	15	14	15
14	8	15	15	17
15	9	16	14	16
16	9	16	16	17
17	10	16	17	18
18	10	17	17	18
19	10	17	18	19
20	11	17	19	20
21	11	18	20	20
22	11	18	19	21
23	12	18	21	21
24	12	19	22	22
25	12	19	22	23
26	13	20	23	22
27	13	20	24	24
28	14	21	24	23
29	14	22	25	24
30	14	22	26	25
31	15	23	28	26
32	15	23	29	27
33	15	24	30	28
34	15	24	31	29
35	16	24	32	30
36	16	25	33	31
37	16	25	34	33
38	17	25	36	34
39	17	26	35	36
40	18	26	36	35
41	18	26	XX	XX
42	19	27	XX	XX
43	19	27	XX	XX
44	20	27	XX	XX
45	20	28	XX	XX
46	20	28	XX	XX
47	21	28	XX	XX
48	21	29	XX	XX
49	22	29	XX	XX
50	22	30	XX	XX
51	22	31	XX	XX
52	23	31	XX	XX
53	23	32	XX	XX
54	23	33	XX	XX
55	24	33	XX	XX
56	24	34	XX	XX
57	24	35	XX	XX
58	25	35	XX	XX
59	25	36	XX	XX
60	25	36	XX	XX
61	26	XX	XX	XX
62	27	XX	XX	XX
63	27	XX	XX	XX
64	28	XX	XX	XX
65	29	XX	XX	XX
66	30	XX	XX	XX
67	30	XX	XX	XX
68	31	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
