0	1	1	1	1
1	1	4	2	3
2	2	6	4	4
3	3	8	5	6
4	3	10	7	7
5	4	11	8	8
6	5	12	9	9
7	5	12	10	10
8	6	13	11	11
9	6	13	12	12
10	7	14	12	13
11	7	14	14	13
12	7	14	13	14
13	8	15	15	15
14	8	15	16	16
15	9	15	15	15
16	9	15	17	17
17	10	16	18	18
18	10	16	18	17
19	10	16	19	19
20	10	17	20	20
21	11	17	21	19
22	11	17	21	21
23	11	17	22	21
24	12	18	23	22
25	12	18	23	23
26	13	19	24	23
27	13	19	25	25
28	13	20	26	24
29	14	20	27	25
30	14	21	28	26
31	14	22	29	27
32	15	22	30	28
33	15	23	31	29
34	15	23	32	31
35	16	24	32	32
36	16	24	33	33
37	16	25	34	34
38	17	25	36	35
39	17	26	35	36
40	18	26	36	36
41	18	26	XX	XX
42	19	27	XX	XX
43	19	27	XX	XX
44	20	28	XX	XX
45	20	28	XX	XX
46	20	28	XX	XX
47	21	29	XX	XX
48	21	29	XX	XX
49	21	30	XX	XX
50	22	31	XX	XX
51	22	31	XX	XX
52	23	32	XX	XX
53	23	33	XX	XX
54	23	34	XX	XX
55	24	34	XX	XX
56	24	35	XX	XX
57	24	35	XX	XX
58	25	35	XX	XX
59	25	36	XX	XX
60	25	36	XX	XX
61	26	XX	XX	XX
62	27	XX	XX	XX
63	27	XX	XX	XX
64	28	XX	XX	XX
65	29	XX	XX	XX
66	30	XX	XX	XX
67	31	XX	XX	XX
68	32	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	36	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
