0	1	1	1	1
1	1	4	3	3
2	2	6	5	5
3	2	8	6	7
4	3	10	8	8
5	3	11	9	9
6	4	11	10	10
7	5	12	11	11
8	5	13	12	12
9	5	13	13	13
10	6	14	12	14
11	6	14	14	13
12	7	14	13	15
13	7	15	14	16
14	7	15	16	17
15	8	15	15	16
16	8	16	16	18
17	9	16	18	19
18	9	16	17	18
19	9	16	18	19
20	10	16	19	20
21	10	17	20	20
22	11	17	20	21
23	11	17	21	21
24	11	18	22	22
25	12	18	22	23
26	12	18	23	22
27	13	19	23	24
28	13	19	24	23
29	14	20	25	24
30	14	20	26	25
31	15	21	27	26
32	15	22	28	26
33	15	22	29	27
34	15	23	30	28
35	16	23	30	29
36	16	24	31	30
37	17	24	32	31
38	17	24	34	33
39	18	25	33	36
40	18	25	36	34
41	19	26	XX	XX
42	19	26	XX	XX
43	20	26	XX	XX
44	20	27	XX	XX
45	20	27	XX	XX
46	21	27	XX	XX
47	21	28	XX	XX
48	21	28	XX	XX
49	22	28	XX	XX
50	22	29	XX	XX
51	23	30	XX	XX
52	23	30	XX	XX
53	23	31	XX	XX
54	24	32	XX	XX
55	24	32	XX	XX
56	25	33	XX	XX
57	25	34	XX	XX
58	26	35	XX	XX
59	26	35	XX	XX
60	27	36	XX	XX
61	28	XX	XX	XX
62	28	XX	XX	XX
63	29	XX	XX	XX
64	30	XX	XX	XX
65	30	XX	XX	XX
66	31	XX	XX	XX
67	32	XX	XX	XX
68	33	XX	XX	XX
69	33	XX	XX	XX
70	34	XX	XX	XX
71	35	XX	XX	XX
72	35	XX	XX	XX
73	35	XX	XX	XX
74	36	XX	XX	XX
75	36	XX	XX	XX
